"date","mob.bus","mob.full","mob.bus0"
2020-11-06,0.735,0.841666666666667,0.663333333333333
2020-11-07,0.8225,0.946666666666667,0.783333333333333
2020-11-08,0.7975,0.968333333333333,0.763333333333333
2020-11-09,0.7275,0.845,0.66
2020-11-10,0.7525,0.86,0.68
2020-11-11,0.6575,0.751666666666667,0.586666666666667
2020-11-12,0.695,0.758333333333333,0.62
2020-11-13,0.705,0.768333333333333,0.626666666666667
2020-11-14,0.81,0.881666666666667,0.756666666666667
2020-11-15,0.75,0.825,0.703333333333333
2020-11-16,0.7125,0.793333333333333,0.646666666666667
2020-11-17,0.7125,0.785,0.636666666666667
2020-11-18,0.695,0.77,0.623333333333333
2020-11-19,0.71,0.79,0.626666666666667
2020-11-20,0.725,0.823333333333333,0.643333333333333
2020-11-21,0.81,0.901666666666667,0.756666666666667
2020-11-22,0.77,0.833333333333333,0.723333333333333
2020-11-23,0.7,0.775,0.623333333333333
2020-11-24,0.7625,0.825,0.66
2020-11-25,0.815,0.865,0.676666666666667
2020-11-26,0.455,0.605,0.336666666666667
2020-11-27,0.595,0.733333333333333,0.53
2020-11-28,0.7325,0.823333333333333,0.7
2020-11-29,0.7475,0.848333333333333,0.72
2020-11-30,0.6,0.686666666666667,0.56
2020-12-01,0.7225,0.791666666666667,0.64
2020-12-02,0.7,0.77,0.623333333333333
2020-12-03,0.7175,0.798333333333333,0.63
2020-12-04,0.6875,0.751666666666667,0.613333333333333
2020-12-05,0.7125,0.756666666666667,0.67
2020-12-06,0.755,0.813333333333333,0.713333333333333
2020-12-07,0.695,0.77,0.626666666666667
2020-12-08,0.69,0.755,0.616666666666667
2020-12-09,0.6775,0.745,0.606666666666667
2020-12-10,0.715,0.796666666666667,0.626666666666667
2020-12-11,0.715,0.793333333333333,0.636666666666667
2020-12-12,0.77,0.82,0.72
2020-12-13,0.775,0.88,0.733333333333333
2020-12-14,0.6425,0.71,0.58
2020-12-15,0.7525,0.805,0.646666666666667
2020-12-16,0.6625,0.723333333333333,0.563333333333333
2020-12-17,0.43,0.585,0.383333333333333
2020-12-18,0.63,0.71,0.566666666666667
2020-12-19,0.7375,0.791666666666667,0.69
2020-12-20,0.7275,0.78,0.686666666666667
2020-12-21,0.715,0.781666666666667,0.636666666666667
2020-12-22,0.75,0.8,0.653333333333333
2020-12-23,0.7925,0.831666666666667,0.68
2020-12-24,0.765,0.805,0.606666666666667
2020-12-25,0.3,0.486666666666667,0.236666666666667
2020-12-26,0.645,0.721666666666667,0.603333333333333
2020-12-27,0.68,0.756666666666667,0.65
2020-12-28,0.665,0.756666666666667,0.593333333333333
2020-12-29,0.6775,0.746666666666667,0.596666666666667
2020-12-30,0.7125,0.778333333333333,0.61
2020-12-31,0.7125,0.76,0.576666666666667
2021-01-01,0.3625,0.525,0.3
2021-01-02,0.7025,0.79,0.643333333333333
2021-01-03,0.62,0.683333333333333,0.586666666666667
2021-01-04,0.6725,0.753333333333333,0.596666666666667
2021-01-05,0.68,0.756666666666667,0.596666666666667
2021-01-06,0.6625,0.743333333333333,0.586666666666667
2021-01-07,0.6625,0.745,0.576666666666667
2021-01-08,0.6525,0.725,0.576666666666667
2021-01-09,0.7125,0.765,0.66
2021-01-10,0.7,0.775,0.653333333333333
2021-01-11,0.6425,0.721666666666667,0.573333333333333
2021-01-12,0.6725,0.75,0.593333333333333
2021-01-13,0.6525,0.733333333333333,0.576666666666667
2021-01-14,0.655,0.746666666666667,0.576666666666667
2021-01-15,0.6325,0.705,0.56
2021-01-16,0.685,0.75,0.636666666666667
2021-01-17,0.67,0.743333333333333,0.63
2021-01-18,0.595,0.705,0.516666666666667
2021-01-19,0.6475,0.725,0.576666666666667
2021-01-20,0.615,0.695,0.55
2021-01-21,0.6475,0.721666666666667,0.57
2021-01-22,0.6525,0.723333333333333,0.576666666666667
2021-01-23,0.6675,0.721666666666667,0.623333333333333
2021-01-24,0.645,0.715,0.606666666666667
2021-01-25,0.6325,0.72,0.57
2021-01-26,0.595,0.671666666666667,0.533333333333333
2021-01-27,0.6375,0.713333333333333,0.566666666666667
2021-01-28,0.6375,0.711666666666667,0.563333333333333
2021-01-29,0.585,0.661666666666667,0.52
2021-01-30,0.685,0.735,0.626666666666667
2021-01-31,0.72,0.756666666666667,0.636666666666667
2021-02-01,0.2475,0.43,0.216666666666667
2021-02-02,0.445,0.573333333333333,0.373333333333333
2021-02-03,0.6125,0.688333333333333,0.54
2021-02-04,0.67,0.73,0.586666666666667
2021-02-05,0.6525,0.721666666666667,0.573333333333333
2021-02-06,0.755,0.793333333333333,0.68
2021-02-07,0.545,0.63,0.52
2021-02-08,0.62,0.693333333333333,0.553333333333333
2021-02-09,0.6375,0.7,0.56
2021-02-10,0.665,0.728333333333333,0.586666666666667
2021-02-11,0.65,0.716666666666667,0.576666666666667
2021-02-12,0.65,0.715,0.566666666666667
2021-02-13,0.72,0.76,0.65
2021-02-14,0.7025,0.753333333333333,0.66
2021-02-15,0.58,0.665,0.503333333333333
